Indicator,Unit,2020,2021,2022,2023,2024,2025,,Data Source,,
Power Battery Production,GWh,83.4,219.7,545.9,778.1,1096.8,1755.6,,China Automotive Battery Innovation Alliance,,
Cumulative installed capacity of new energy storage,GW,3.28,4,8.7,31.39,73.76,136,,National Energy Administration,,
Interregional Power Transmission Capacity,GW,156.15,172.15,188.15,188.15,/,,,China Electricity Council,,
Transformer Capacity (≥220 kV),kVA,"4,530,000,000","4,900,000,000","5,100,000,000","5,424,000,000","5,780,670,000",,,China Electricity Council,,"
"
Hydrogen Production Capacity,"10,000 tonnes/year",4100,4824.11,4882,4921.26,5000,,,"China Hydrogen Alliance, China National Petroleum & Chemical Planning Institute, Guoneng Qingchuang Technology",,
Hydrogen Production,"10,000 tonnes",3342,3467.12,3533,3500,3650,3700,,"China Hydrogen Alliance, China National Petroleum & Chemical Planning Institute, Guoneng Qingchuang Technology, China Energy News",,
Methanol Production Capacity,"10,000 tonnes/year",9098,9743.1,10036.48,10616.63,10977.6,11500,,"China Nitrogen Fertilizer Industry Association‌, China Petroleum and Chemical Industry Federation",,
Methanol Production,"10,000 tonnes",7262,7788.21,8020.54,8317.21,9182.2,9993,,China Nitrogen Fertilizer Industry Association,,
Ammonia Production Capacity,"10,000 tonnes/year",6677.06,6563.11,6824.13,7415.38,7712,7888,,China Nitrogen Fertilizer Industry Association,,
Ammonia Production,"10,000 tonnes",5884.06,5906.78,6175.87,6764.79,7322.05,7768.7,,China Nitrogen Fertilizer Industry Association,,
Crude Steel Production,100 million tonnes,10.65,10.33,10.19,10.22,10.05,9.61,,"China Iron and Steel Association, National Bureau of Statistics of China, Ministry of Industry and Information Technology of the People's Republic of China",,
Pig Iron Production,101 million tonnes,9.08,8.71,8.65,8.72,8.62,8.36,,"China Iron and Steel Association, National Bureau of Statistics of China",,
Finished Steel Production,102 million tonnes,13.29,13.51,12.95,13.85,14.02,14.46,,"China Iron and Steel Association, National Bureau of Statistics of China",,
